Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,Projected Job Openings
4,15-2051.00,Data Scientists,Y,https://www.onetonline.org/link/summary/15-2051.00,"$54.13 hourly, $112,590 annual",Much faster than average (7% or higher),"23,400"
4,15-1243.01,Data Warehousing Specialists,Y,https://www.onetonline.org/link/summary/15-1243.01,"$65.37 hourly, $135,980 annual",Much faster than average (7% or higher),"4,000"
4,15-1242.00,Database Administrators,Y,https://www.onetonline.org/link/summary/15-1242.00,"$50.30 hourly, $104,620 annual",Decline (-1% or lower),"3,800"
4,15-1243.00,Database Architects,Y,https://www.onetonline.org/link/summary/15-1243.00,"$65.37 hourly, $135,980 annual",Much faster than average (7% or higher),"4,000"
2,41-9011.00,Demonstrators and Product Promoters,Y,https://www.onetonline.org/link/summary/41-9011.00,"$18.25 hourly, $37,960 annual",Little or no change,"14,000"
3,31-9091.00,Dental Assistants,Y,https://www.onetonline.org/link/summary/31-9091.00,"$22.74 hourly, $47,300 annual",Faster than average (5% to 6%),"52,900"
3,29-1292.00,Dental Hygienists,Y,https://www.onetonline.org/link/summary/29-1292.00,"$45.32 hourly, $94,260 annual",Much faster than average (7% or higher),"15,300"
2,51-9081.00,Dental Laboratory Technicians,Y,https://www.onetonline.org/link/summary/51-9081.00,"$23.23 hourly, $48,310 annual",Decline (-1% or lower),"3,900"
n/a,29-1029.00,"Dentists, All Other Specialists",,https://www.onetonline.org/link/summary/29-1029.00,"$108.54 hourly, $225,770 annual",Little or no change,200
5,29-1021.00,"Dentists, General",Y,https://www.onetonline.org/link/summary/29-1021.00,"$83.07 hourly, $172,790 annual",Average (3% to 4%),"3,900"
5,29-1213.00,Dermatologists,Y,https://www.onetonline.org/link/summary/29-1213.00,"$115.00+ hourly, $239,200+ annual",Faster than average (5% to 6%),400
1,47-5011.00,"Derrick Operators, Oil and Gas",Y,https://www.onetonline.org/link/summary/47-5011.00,"$30.16 hourly, $62,740 annual",Slower than average (1% to 2%),"1,000"
n/a,27-1029.00,"Designers, All Other",,https://www.onetonline.org/link/summary/27-1029.00,"$31.84 hourly, $66,220 annual",Slower than average (1% to 2%),"2,200"
3,43-9031.00,Desktop Publishers,Y,https://www.onetonline.org/link/summary/43-9031.00,"$25.78 hourly, $53,620 annual",Decline (-1% or lower),400
3,33-3021.00,Detectives and Criminal Investigators,Y,https://www.onetonline.org/link/summary/33-3021.00,"$44.99 hourly, $93,580 annual",Decline (-1% or lower),"7,800"
3,29-2032.00,Diagnostic Medical Sonographers,Y,https://www.onetonline.org/link/summary/29-2032.00,"$42.95 hourly, $89,340 annual",Much faster than average (7% or higher),"5,800"
3,29-2051.00,Dietetic Technicians,Y,https://www.onetonline.org/link/summary/29-2051.00,"$17.81 hourly, $37,040 annual",Average (3% to 4%),"4,000"
5,29-1031.00,Dietitians and Nutritionists,Y,https://www.onetonline.org/link/summary/29-1031.00,"$35.50 hourly, $73,850 annual",Faster than average (5% to 6%),"6,200"
4,15-1299.06,Digital Forensics Analysts,Y,https://www.onetonline.org/link/summary/15-1299.06,"$52.39 hourly, $108,970 annual",Much faster than average (7% or higher),"31,300"
1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Y,https://www.onetonline.org/link/summary/35-9011.00,"$15.71 hourly, $32,670 annual",Faster than average (5% to 6%),"99,600"
4,21-2021.00,"Directors, Religious Activities and Education",Y,https://www.onetonline.org/link/summary/21-2021.00,"$26.37 hourly, $54,840 annual",Slower than average (1% to 2%),"13,800"
2,27-2091.00,"Disc Jockeys, Except Radio",Y,https://www.onetonline.org/link/summary/27-2091.00,$20.59 hourly,Average (3% to 4%),"1,500"
1,35-9021.00,Dishwashers,Y,https://www.onetonline.org/link/summary/35-9021.00,"$16.19 hourly, $33,670 annual",Little or no change,"76,800"
2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Y,https://www.onetonline.org/link/summary/43-5032.00,"$23.50 hourly, $48,880 annual",Decline (-1% or lower),"18,500"
4,15-1299.03,Document Management Specialists,Y,https://www.onetonline.org/link/summary/15-1299.03,"$52.39 hourly, $108,970 annual",Much faster than average (7% or higher),"31,300"
1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y,https://www.onetonline.org/link/summary/41-9091.00,"$16.60 hourly, $34,530 annual",Decline (-1% or lower),"2,700"
n/a,17-3019.00,"Drafters, All Other",,https://www.onetonline.org/link/summary/17-3019.00,"$29.81 hourly, $62,010 annual",Decline (-1% or lower),"1,300"
2,53-7031.00,Dredge Operators,Y,https://www.onetonline.org/link/summary/53-7031.00,"$23.28 hourly, $48,430 annual",Slower than average (1% to 2%),100
2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Y,https://www.onetonline.org/link/summary/51-4032.00,"$22.42 hourly, $46,630 annual",Decline (-1% or lower),400
2,53-3031.00,Driver/Sales Workers,Y,https://www.onetonline.org/link/summary/53-3031.00,"$17.85 hourly, $37,130 annual",Much faster than average (7% or higher),"51,300"
2,47-2081.00,Drywall and Ceiling Tile Installers,Y,https://www.onetonline.org/link/summary/47-2081.00,"$27.95 hourly, $58,140 annual",Average (3% to 4%),"7,700"
2,47-5023.00,"Earth Drillers, Except Oil and Gas",Y,https://www.onetonline.org/link/summary/47-5023.00,"$28.65 hourly, $59,600 annual",Average (3% to 4%),"1,700"
5,25-1063.00,"Economics Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1063.00,"$119,980 annual",Slower than average (1% to 2%),"1,200"
5,19-3011.00,Economists,Y,https://www.onetonline.org/link/summary/19-3011.00,"$55.50 hourly, $115,440 annual",Slower than average (1% to 2%),900
