Soc Code,URL,Simple Title
25-1072.00,https://altpath.org/discover/qactul0p84kcxx3fowmgh0ed,Postsecondary Nursing Teacher
29-1243.00,https://altpath.org/discover/rqd8jyj9jbx1hrnb7pbmv4pl,Pediatric Surgeon
51-9124.00,https://altpath.org/discover/ul40oe3bh0favwef344ydq81,Painting Machine Operator
25-1062.00,https://altpath.org/discover/qtohq7eaw5vw2rgbyowcyrf1,Postsecondary Cultural Studies Teacher
43-5041.00,https://altpath.org/discover/mjmffzy9xjakzot5dnpsi97w,Utility Meter Reader
51-9083.00,https://altpath.org/discover/rdq1kmjco7a6wvjhyxauitdv,Ophthalmic Laboratory Technician
49-3022.00,https://altpath.org/discover/lmgabg1ig23rhv1gkfhnc7gf,Auto Glass Repairer
35-9099.00,https://altpath.org/discover/qzsbxaitxr3g70uiec9kk8zw,Food Service Workers
25-1041.00,https://altpath.org/discover/qenfe826qdnyh590ijntuwaz,Postsecondary Agricultural Science Teacher
51-9194.00,https://altpath.org/discover/eotvwx25wwqx52osfxhvdq8v,Etchers and Engraver
51-9192.00,https://altpath.org/discover/xydpq3s6v43t7881crl6vz9x,Metal Cleaning Equipment Operator
19-2043.00,https://altpath.org/discover/lxq9j1i89eibapgwpf876yg0,Hydrologist
51-4081.00,https://altpath.org/discover/hbg3oall8nw4fmh7f7tz8gnl,Metal & Plastic Machine Tool Operator
43-9041.00,https://altpath.org/discover/n42yb4xdsatg04c54psfbfu1,Insurance Claims Clerk
31-1133.00,https://altpath.org/discover/vvvezg0j2e0kcbts7qcddi1a,Psychiatric Aide
39-3031.00,https://altpath.org/discover/tswdg3pjgpuwbzodt6sk5h6j,Lobby Attendant
33-9031.00,https://altpath.org/discover/c0w0xlnr7lyd68r3tpqiu2za,Gambling Investigator
23-1021.00,https://altpath.org/discover/h1ncpdqjhjs5vwte5scb92hu,Administrative Law Judge
25-1123.00,https://altpath.org/discover/sh6l75o4l57degbdmeamh8ro,Postsecondary English Literature Teacher
29-1211.00,https://altpath.org/discover/r95mk67uguiuaccrxnmmd5nj,Anesthesiologist
49-9041.00,https://altpath.org/discover/prwklhp568rlo0lel3wccx2j,Industrial Machinery Mechanic
49-2091.00,https://altpath.org/discover/o8q4e6jk69nh4iz0u1trn28w,Avionics Technician
29-2053.00,https://altpath.org/discover/he5wzry5thw9dstfg2y2msvp,Psychiatric Technician
27-1019.00,https://altpath.org/discover/uuqxnjg5yai7vhdjo3hyskn5,Artists
43-6011.00,https://altpath.org/discover/iqffq7vibi3cbjttkkdgbbgz,Executive Assistant
17-2072.00,https://altpath.org/discover/ltudlzp2ixonseej92ny8fg1,Electronics Engineer
29-2061.00,https://altpath.org/discover/ph8q1us66ofn685t6j8p1ong,Licensed Nurse
35-1011.00,https://altpath.org/discover/dzem6eglh5e7cbgzdsinzu35,Head Chef
19-3011.00,https://altpath.org/discover/ofumrvj2oosdcyrjfmaoqm1i,Economist
51-6093.00,https://altpath.org/discover/jbyaekwhd3jck4mh8eypvdyq,Upholsterer
53-7199.00,https://altpath.org/discover/mk2mf5l4qkxp83xrvlf1re5c,Material Moving Workers
29-2031.00,https://altpath.org/discover/vl96a6ggs3jrllu7vly0c8zs,Cardiovascular Technologist
11-3061.00,https://altpath.org/discover/umd4ocbvxv4vii278ugd9idj,Purchasing Manager
31-2022.00,https://altpath.org/discover/vap5jkf5zlad4lqhj99hhzn6,Physical Therapist Aide
39-3011.00,https://altpath.org/discover/l5qes2pilu75fdtrj9gngvr9,Gambling Dealer
53-6031.00,https://altpath.org/discover/arpx22fh41ww0vjjuve1txnc,Auto & Watercraft Service Attendant
43-9199.00,https://altpath.org/discover/n58ffhdyhojjg18tvnipu3wk,Administrative Workers
51-3021.00,https://altpath.org/discover/unn2mqb6qlj6b7k48c91zpju,Butcher
17-3023.00,https://altpath.org/discover/gmojt72lek03p8xntmbel553,Electrical Engineering Technologist
29-2056.00,https://altpath.org/discover/x85xqlrzvlagx0e3cj86x3rk,Veterinary Technologist
27-3011.00,https://altpath.org/discover/mkapzt76t8uqtbf46c9h112s,Broadcast Announcer
51-2011.00,https://altpath.org/discover/yrrxgowex9l8ysbtrtbuhfsx,Aircraft Assembler
39-3012.00,https://altpath.org/discover/au1s0m3l65ubv7t1bz8k4e32,Gambling Book Writer
41-2012.00,https://altpath.org/discover/tc7rvhxtkmonsg72j63ovgzg,Gambling Booth Cashier
43-3031.00,https://altpath.org/discover/x19keey6ar39hh15rqfw1xxc,Bookkeeper
17-3026.00,https://altpath.org/discover/mxj00qg7ul6rxjusluzdf4gs,Industrial Engineering Technologist
15-1253.00,https://altpath.org/discover/y5xn0txznx03b337etxkc09c,Software QA Analyst
51-9198.00,https://altpath.org/discover/lyf0yff8znd0xi6zgx1n4r8j,Helper--Production Worker
51-4033.00,https://altpath.org/discover/trpkc0dx5at2dhy6c3paxx05,Metal & Plastic Grinding Machine Operator
11-9021.00,https://altpath.org/discover/rrxm5m9cvjpsx34no36cvso2,Construction Manager
43-3071.00,https://altpath.org/discover/e37wb12vilodl1ft9se4bz7m,Teller
47-2053.00,https://altpath.org/discover/tfg190704fwo8drsm4ggdc82,Terrazzo Worker
25-4012.00,https://altpath.org/discover/yr460rrigyqm8id7s1o380tb,Curator
13-1041.00,https://altpath.org/discover/z3z3dsw0laew23x73tjo5cpa,Compliance Officer
51-6042.00,https://altpath.org/discover/grmxll7lubywl0twemad0tou,Shoe Machine Operator
51-7099.00,https://altpath.org/discover/cvjenewh4en52osnbv6nkyzr,Woodworkers
17-2071.00,https://altpath.org/discover/fdmwf6jf6k6zepj8k8m2gso5,Electrical Engineer
39-1022.00,https://altpath.org/discover/ji6c1tntz811tedg5vi4yvdl,Service Worker Supervisor
47-5043.00,https://altpath.org/discover/aegvc4cd4a4kpy6rvzpiipm6,Mining Roof Bolter
49-9021.00,https://altpath.org/discover/s7rkw1lw585pzcloqku0kxr3,HVAC Installer
15-2011.00,https://altpath.org/discover/u27b0gb84uyrciys4b46u555,Actuary
17-3031.00,https://altpath.org/discover/iz4fka1rrc9v50tc1pq6ns3d,Surveying & Mapping Technician
51-5113.00,https://altpath.org/discover/yuxd22xqzksux6k3upe74ep8,Print Binding Worker
43-2021.00,https://altpath.org/discover/e2e4odkx3yeauxqbj78qfcpf,Telephone Operator
17-3027.00,https://altpath.org/discover/cvl1nhcku9ul02epthalxoon,Mechanical Engineering Technologist
19-3091.00,https://altpath.org/discover/j4abb9oc19jxtrypev8krjku,Anthropologist or Archeologist
45-1011.00,https://altpath.org/discover/tmpwf7ubkpp7h0c4ukdjzpt8,Farming & Forestry Worker Supervisor
21-2011.00,https://altpath.org/discover/rl06bcrj8bv9rlmcd4npjvz7,Clergy
41-2031.00,https://altpath.org/discover/i9ormpq680816eoky6wdzm5r,Retail Salesperson
27-4021.00,https://altpath.org/discover/utx8lcszb23kjknp5lop3e2n,Photographer
23-1022.00,https://altpath.org/discover/hbh2m6r7mik73fw19iugtew4,Mediator
17-2112.00,https://altpath.org/discover/fm7d2b7uc1ugb6p22jahr9xk,Industrial Engineer
31-9097.00,https://altpath.org/discover/uo59w589g0xroji8slbjizda,Phlebotomist
43-4161.00,https://altpath.org/discover/whfzwqdqx2s9t6wr76n6wy95,Human Resources Assistant
43-6014.00,https://altpath.org/discover/sn5sux46p43bu9cmajczgebs,Administrative Assistant
13-1131.00,https://altpath.org/discover/a5vpx2lp9xskp1adk4kmr418,Fundraiser
33-3031.00,https://altpath.org/discover/flc321d0lttcfzq0w5g2jkdt,Fish and Game Warden
27-1025.00,https://altpath.org/discover/dnrgajkhbo8p1i3h9o04grjb,Interior Designer
41-2022.00,https://altpath.org/discover/sttya6lyz0r0sapazel6adcg,Parts Salesperson
35-2012.00,https://altpath.org/discover/bcuq8gzv8ngvda5ptevxnje2,Cafeteria Cook
53-7073.00,https://altpath.org/discover/jcxwalnbc3ueimpa9m1qk0r8,Wellhead Pumper
51-2051.00,https://altpath.org/discover/t1h5bzy0p7tv6jbysi5obiul,Fiberglass Fabricator
33-3011.00,https://altpath.org/discover/v4j5f71epyq8m49cqzqh0gt8,Bailiff
43-5111.00,https://altpath.org/discover/ytutt1qwr5n84curv1ltbxip,Materials Weigher
47-2041.00,https://altpath.org/discover/m092wrne9p4lseaa6wzuqqs5,Carpet Installer
25-1126.00,https://altpath.org/discover/ih23cyeyz5p4zlxq0k7buan1,Postsecondary Religion Teacher
11-9041.00,https://altpath.org/discover/dm5x39mmyywrrtlxifq2gi5n,Architectural & Engineering Manager
11-2011.00,https://altpath.org/discover/jpw3mq0ggirk71qg1ietvssq,Advertising Manager
51-2031.00,https://altpath.org/discover/x09gz11fznp1t02fy5d301wd,Engine Assembler
47-5011.00,https://altpath.org/discover/mnt7ydpxtr3yh9z25p49dkek,Oil & Gas Derrick Operator
51-3022.00,https://altpath.org/discover/o6qczi6y9v4s9t5jjjrgna1y,Meat Cutter
49-3031.00,https://altpath.org/discover/yk3egbo06u18nkfb20qhrqp3,Truck Mechanic
15-1241.01,https://altpath.org/discover/c0xigb6er42lktf9vu8awoie,Telecomm Engineering Specialist
